No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
2317;54,363139;;54,363139;54,365719;0,00258;;0,00258;-0,000388;-0,002968
2318;54,365719;;54,365719;54,365719;0;;-0,000388;0,000337;0,000725
2319;54,365719;;54,365719;54,366107;0,000388;;0,000337;-0,001865;-0,002202
2320;54,366107;;54,366107;54,366158;5,1E-05;;-0,001865;0,001702;0,003567
2321;54,366158;;54,366158;54,368074;0,001916;;0,001702;0,000191;-0,001511
2322;54,368074;;54,368074;54,368288;0,000214;;0,000191;-0,002145;-0,002336
2323;54,368288;;54,368288;54,368311;2,3E-05;;-0,002145;0,002168;0,004313
2324;54,368311;;54,368311;54,370479;0,002168;;0,002168;-0,0036;-0,005768
2325;54,370479;;54,370479;54,370479;0;;-0,0036;0,0036;0,0072
2326;54,370479;;54,370479;54,374079;0,0036;;0,0036;-0,000209;-0,003809
2327;54,374079;;54,374079;54,374079;0;;-0,000209;-0,001049;-0,00084
2328;54,374079;;54,374079;54,374288;0,000209;;-0,001049;-0,008151;-0,007102
2329;54,374288;;54,374288;54,375546;0,001258;;-0,008151;0,008473;0,016624
2330;54,375546;;54,375546;54,384955;0,009409;;0,008473;0,000936;-0,007537
2331;54,384955;;54,384955;54,385891;0,000936;;0,000936;-0,000134;-0,00107
2332;54,385891;;54,385891;54,385891;0;;-0,000134;-0,000721;-0,000587
2333;54,385891;;54,385891;54,386025;0,000134;;-0,000721;0,000855;0,001576
2334;54,386025;;54,386025;54,38688;0,000855;;0,000855;-4,1E-05;-0,000896
2335;54,38688;;54,38688;54,38688;0;;-4,1E-05;-0,00052;-0,000479
2336;54,38688;;54,38688;54,386921;4,1E-05;;-0,00052;0,000316;0,000836
2337;54,386921;;54,386921;54,387482;0,000561;;0,000316;0,000245;-7,1E-05
2338;54,387482;;54,387482;54,387727;0,000245;;0,000245;-3,6E-05;-0,000281
2339;54,387727;;54,387727;54,387727;0;;-3,6E-05;-1,2E-05;2,4E-05
2340;54,387727;;54,387727;54,387763;3,6E-05;;-1,2E-05;4,7E-05;5,9E-05
2341;54,387763;;54,387763;54,387811;4,8E-05;;4,7E-05;-0,000221;-0,000268
2342;54,387811;;54,387811;54,387812;1E-06;;-0,000221;-0,000387;-0,000166
2343;54,387812;;54,387812;54,388034;0,000222;;-0,000387;0,000563;0,00095
2344;54,388034;;54,388034;54,388643;0,000609;;0,000563;4,6E-05;-0,000517
2345;54,388643;;54,388643;54,388689;4,6E-05;;4,6E-05;-3,1E-05;-7,7E-05
2346;54,388689;;54,388689;54,388689;0;;-3,1E-05;-5E-05;-1,9E-05
2347;54,388689;;54,388689;54,38872;3,1E-05;;-5E-05;-0,000602;-0,000552
2348;54,38872;;54,38872;54,388801;8,1E-05;;-0,000602;0,000498;0,0011
2349;54,388801;;54,388801;54,389484;0,000683;;0,000498;0,000185;-0,000313
2350;54,389484;;54,389484;54,389669;0,000185;;0,000185;-5,5E-05;-0,00024
2351;54,389669;;54,389669;54,389669;0;;-5,5E-05;-0,000172;-0,000117
2352;54,389669;;54,389669;54,389724;5,5E-05;;-0,000172;-0,000608;-0,000436
2353;54,389724;;54,389724;54,389951;0,000227;;-0,000608;0,000795;0,001403
2354;54,389951;;54,389951;54,390786;0,000835;;0,000795;4E-05;-0,000755
2355;54,390786;;54,390786;54,390826;4E-05;;4E-05;-4E-05;-8E-05
2356;54,390826;;54,390826;54,390826;0;;-4E-05;2,5E-05;6,5E-05
2357;54,390826;;54,390826;54,390866;4E-05;;2,5E-05;-0,000215;-0,00024
2358;54,390866;;54,390866;54,390881;1,5E-05;;-0,000215;-0,000327;-0,000112
2359;54,390881;;54,390881;54,391111;0,00023;;-0,000327;0,000417;0,000744
2360;54,391111;;54,391111;54,391668;0,000557;;0,000417;-6,5E-05;-0,000482
2361;54,391668;;54,391668;54,391808;0,00014;;-6,5E-05;-0,000207;-0,000142
2362;54,391808;;54,391808;54,392013;0,000205;;-0,000207;0,000401;0,000608
2363;54,392013;;54,392013;54,392425;0,000412;;0,000401;-3,3E-05;-0,000434
2364;54,392425;;54,392425;54,392436;1,1E-05;;-3,3E-05;-0,000246;-0,000213
2365;54,392436;;54,392436;54,39248;4,4E-05;;-0,000246;0,000249;0,000495
2366;54,39248;;54,39248;54,39277;0,00029;;0,000249;-0,002522;-0,002771
2367;54,39277;;54,39277;54,392811;4,1E-05;;-0,002522;0,002563;0,005085
2368;54,392811;;54,392811;54,395374;0,002563;;0,002563;-4,6E-05;-0,002609
2369;54,395374;;54,395374;54,395374;0;;-4,6E-05;-1,8E-05;2,8E-05
2370;54,395374;;54,395374;54,39542;4,6E-05;;-1,8E-05;-0,000498;-0,00048
2371;54,39542;;54,39542;54,395484;6,4E-05;;-0,000498;0,000562;0,00106
2372;54,395484;;54,395484;54,396046;0,000562;;0,000562;-7,1E-05;-0,000633
2373;54,396046;;54,396046;54,396046;0;;-7,1E-05;-0,008859;-0,008788
2374;54,396046;;54,396046;54,396117;7,1E-05;;-0,008859;0,00893;0,017789
2375;54,396117;;54,396117;54,405047;0,00893;;0,00893;-5,5E-05;-0,008985
2376;54,405047;;54,405047;54,405047;0;;-5,5E-05;-0,003295;-0,00324
2377;54,405047;;54,405047;54,405102;5,5E-05;;-0,003295;0,00335;0,006645
2378;54,405102;;54,405102;54,408452;0,00335;;0,00335;-0,000112;-0,003462
2379;54,408452;;54,408452;54,408452;0;;-0,000112;-0,000928;-0,000816
2380;54,408452;;54,408452;54,408564;0,000112;;-0,000928;0,00104;0,001968
2381;54,408564;;54,408564;54,409604;0,00104;;0,00104;-2,2E-05;-0,001062
